id,MedHouseVal
37137,0.9251308670343726
37138,0.9113224284991986
37139,3.81102702801139
37140,2.6169368217525086
37141,1.9651420580694696
37142,2.92770524122601
37143,1.8206466061219309
37144,2.0661977257119037
37145,0.9846220229301061
37146,0.812540444171463
37147,2.1117795704276023
37148,1.3734985947350773
37149,1.5568842885333005
37150,1.6803881451865916
37151,1.7993875438107754
37152,2.9844470705064814
37153,2.0024568045091655
37154,2.261733033717753
37155,2.300432785919836
37156,1.4300182954431795
37157,1.6972186193686771
37158,1.7853669878100704
37159,1.5323102927355086
37160,1.0981804532156656
37161,1.5426678265217488
37162,2.5137667560862775
37163,2.798717447100044
37164,1.820352248210066
37165,3.132100758775418
37166,2.2950338301527062
37167,5.404946718941192
37168,7.785367547349024
37169,1.964082401761619
37170,1.2663547820152616
37171,2.26671664237354
37172,4.2292969756971
37173,2.691993894351287
37174,1.5573829645353057
37175,1.5277878075699411
37176,2.66322299059365
37177,2.041158275124846
37178,1.3001731739411349
37179,1.4928401577012496
37180,3.186038923720054
37181,2.785326252321804
37182,1.0048736011453108
37183,2.1132387775886743
37184,3.3852387603485212
37185,2.7570373364162446
37186,2.6089725231562535
37187,1.6074723612176405
37188,2.509232339248216
37189,1.2830684893125666
37190,2.142618825311893
37191,1.5359854998752036
37192,1.6004475037331038
37193,2.5632081616381903
37194,1.4189586934596528
37195,3.2225485458813035
37196,1.518667797148771
37197,1.3769560462656663
37198,1.9473951125028341
37199,1.8110051646884335
37200,3.2619389953634856
37201,2.1605873121435932
37202,2.5326690558296043
37203,2.1299524388178437
37204,1.9553271402392562
37205,2.202683159781343
37206,2.376426200646641
37207,1.8986289597928108
37208,1.352353642653801
37209,2.4763417777290053
37210,3.9968282730403297
37211,3.3110676545201274
37212,1.5830441203008006
37213,2.7322141055787577
37214,1.7707723880805126
37215,1.0294235869810167
37216,1.9240169012663844
37217,1.4139485451111513
37218,2.230017933063551
37219,1.6248290131983498
37220,2.57653670539508
37221,1.5181302428522323
37222,1.9038464114587565
37223,1.547334998466883
37224,3.125301109531974
37225,2.1996671357445488
37226,3.876194905791804
37227,1.963617176714417
37228,0.8649471151577496
37229,1.7247005620881124
37230,2.199559354301306
37231,0.9527487411794948
37232,4.145095167999817
37233,1.5165998318035006
37234,0.8680117039572078
37235,1.6844075781278982
37236,2.81210190155646
37237,2.523067761527111
37238,3.874731394679931
37239,0.9312599687846752
37240,1.2795231881185316
37241,2.5957404733568525
37242,3.1782852004043516
37243,2.2412334674343244
37244,1.9406090974813028
37245,2.4468348720740227
37246,1.6106774799191554
37247,1.8252547171958937
37248,1.8330787147725132
37249,3.047304315871056
37250,1.085657984268774
37251,1.7957494224660004
37252,1.3770926149117457
37253,2.178241159180689
37254,1.8894719874215458
37255,1.8958822722119906
37256,1.5186672330681654
37257,3.349649227297828
37258,1.9001622725188554
37259,3.110078020912847
37260,2.3850579406792782
37261,2.0479682507658143
37262,2.307263009371203
37263,1.6026624932551212
37264,1.5711514050450595
37265,2.946706914267771
37266,2.032379440215008
37267,2.8486940005827934
37268,1.26822007275349
37269,1.2902035059535761
37270,2.1681101906559306
37271,2.655952535107182
37272,0.9535079075315804
